Date,Open,High,Low,Close,Turnover
27/10/2010,3836.12,3867.89,3811,3815.77,3176394780
28/10/2010,3838.13,3862.97,3821.88,3834.84,2907404870
29/10/2010,3828.71,3857.58,3807.8,3833.5,2937000547
01/11/2010,3865.04,3873.77,3812.37,3841.11,2341412744
02/11/2010,3830.4,3879.35,3830.14,3865.72,2688271422
03/11/2010,3880.08,3890.9,3834.68,3842.94,3204599782
04/11/2010,3885.17,3931.76,3885.17,3916.78,4806528413
05/11/2010,3928.01,3937.64,3893.93,3916.73,3798737964
08/11/2010,3915.34,3919.86,3896.7,3913.7,2612473305
09/11/2010,3903.85,3961.7,3902.64,3945.71,3598208001
10/11/2010,3923.25,3932.67,3869.2,3888.45,5028620462
11/11/2010,3900.83,3903.2,3848.1,3867.35,3270642616
12/11/2010,3796.61,3853.31,3769.59,3831.12,4954213166
15/11/2010,3810.24,3875.63,3797.75,3864.24,4921187022
16/11/2010,3836.73,3842.12,3762.47,3762.47,6010976024
17/11/2010,3753.76,3798.73,3753.06,3792.35,2714013296
18/11/2010,3823.53,3873.58,3822.15,3867.97,3406704942
19/11/2010,3871.5,3871.5,3827.03,3860.16,3719266867
22/11/2010,3892.65,3896.07,3812.48,3818.89,2978550305
23/11/2010,3792.14,3803.86,3724.42,3724.42,3865069227
24/11/2010,3738.47,3760.78,3703.72,3747.61,3382412173
25/11/2010,3752.42,3767.69,3730.04,3760.42,2345669431
26/11/2010,3728.99,3743.98,3687.43,3728.65,3421266099
29/11/2010,3748.1,3773.9,3636.96,3636.96,4603900980
30/11/2010,3643.63,3656.81,3591.78,3610.44,4810506052
01/12/2010,3634.61,3674.96,3620.64,3669.29,4643743780
02/12/2010,3695.41,3754.82,3650.03,3747.04,5024065435
03/12/2010,3744.24,3775.75,3721.38,3750.55,3541523285
06/12/2010,3758.58,3763.4,3723.16,3749.23,2777942567
07/12/2010,3759.59,3835.06,3758.91,3810.5,3888204543
08/12/2010,3790.48,3857.86,3784.38,3831.98,3326979403
09/12/2010,3857.69,3867.34,3836.83,3858.05,3819426965
10/12/2010,3870.46,3873.64,3850.69,3857.35,2756562105
13/12/2010,3872.83,3904.43,3868.78,3892.44,3349564949
14/12/2010,3893.96,3902.87,3881.64,3902.87,3335996606
15/12/2010,3889.84,3892.93,3865.17,3880.19,3403891079
16/12/2010,3878.25,3897.15,3861.1,3888.36,2965738220
17/12/2010,3901.42,3906.09,3865.1,3867.35,10184449084
20/12/2010,3873.24,3918.69,3869.2,3885.08,2469708644
21/12/2010,3903.16,3936.06,3899.22,3927.49,2478240308
22/12/2010,3922.96,3932.2,3919.47,3919.71,2272186039
23/12/2010,3922.74,3924.3,3889.31,3911.32,1478048897
24/12/2010,3906.93,3911.95,3893.55,3900.39,307579077.9
27/12/2010,3893.11,3901.92,3836.05,3862.19,1254649045
28/12/2010,3872.7,3881.97,3858.72,3858.72,935937868
29/12/2010,3869.9,3904.04,3869.82,3890.65,1240295503
30/12/2010,3893.51,3902.04,3839.61,3850.76,1327552776
31/12/2010,3854.18,3854.18,3804.78,3804.78,619024323
03/01/2011,3847.63,3904.03,3836.71,3900.86,1914274819
04/01/2011,3908.25,3945.72,3890.83,3916.03,3040040224
05/01/2011,3904.47,3905.98,3850.38,3904.61,3273250683
06/01/2011,3911.34,3945.34,3895.55,3904.42,3212334063
07/01/2011,3892.87,3913.92,3865.58,3865.58,3121242089
10/01/2011,3850.27,3853.38,3790.96,3802.03,3240383433
11/01/2011,3821.99,3866.85,3809.85,3861.92,3621958223
12/01/2011,3870.79,3946.12,3869.67,3945.07,4290185339
13/01/2011,3950.91,3975.63,3943.98,3974.83,4917313817
14/01/2011,3961.04,3992.1,3954.04,3983.28,4067352366
17/01/2011,3984.09,3990.35,3965.91,3975.41,2323380796
18/01/2011,3991.07,4016.4,3987.02,4012.68,3739792315
19/01/2011,4019.79,4022.58,3973.24,3976.71,4018281103
20/01/2011,3972.83,3989.03,3950.3,3964.84,4815693990
21/01/2011,3982.49,4057.97,3979.24,4017.45,6291362716
24/01/2011,4028.33,4037.9,4002.72,4033.21,3211621432
25/01/2011,4049.12,4056.69,4016.5,4019.62,3773193675
26/01/2011,4043.92,4066.41,4039.59,4049.07,4228230681
27/01/2011,4040.2,4079.3,4032.11,4059.57,4253218161
28/01/2011,4044.56,4072.64,4002.32,4002.32,4575753340
31/01/2011,3997.14,4018.51,3953.18,4005.5,4293974800
01/02/2011,4037.14,4078.48,4019.34,4072.62,4269158192
02/02/2011,4084.75,4089.64,4049.74,4066.53,3739485139
03/02/2011,4056.39,4059.25,4009.12,4036.59,3567774121
04/02/2011,4049.01,4059.63,4026.92,4047.21,3266483612
07/02/2011,4055.5,4098.64,4052.61,4090.8,3444551841
08/02/2011,4082.44,4109.38,4078.51,4108.27,3936299802
09/02/2011,4100.62,4120.44,4090.72,4090.74,3613589566
10/02/2011,4078.87,4095.14,4041.63,4095.14,4223352058
11/02/2011,4080.74,4121.38,4039.24,4101.31,4236715826
14/02/2011,4128.7,4130.4,4089.66,4096.62,3260413277
15/02/2011,4091.64,4118.76,4085.5,4110.34,3275406667
16/02/2011,4124.26,4169.87,4121.46,4151.26,4812093122
17/02/2011,4160.78,4163.44,4129.57,4152.31,4651315336
18/02/2011,4164.65,4168.57,4136.17,4157.14,5161247660
21/02/2011,4153.1,4163.99,4087.85,4097.41,3532095859
22/02/2011,4074.62,4078.87,4026.01,4050.27,4245757716
23/02/2011,4044.53,4061.04,4007.93,4013.12,3876247420
24/02/2011,3985.09,4024.26,3984.36,4009.64,4373568877
25/02/2011,4029.07,4084.54,4006.87,4070.38,3320160016
28/02/2011,4064.55,4131.73,4053.42,4110.35,3494516217
01/03/2011,4126.66,4145.73,4056.43,4067.15,4079177015
02/03/2011,4042.51,4053.64,4009.89,4034.32,4269628276
03/03/2011,4057.91,4098.11,4040.43,4060.76,4325257664
04/03/2011,4068.69,4091.31,4010.8,4020.21,4144096259
07/03/2011,4007.34,4049.98,3990.41,3990.41,3532048811
08/03/2011,4006.36,4017.43,3964.99,4015.91,3511109398
09/03/2011,4016.45,4035.81,3985.91,3993.81,3587536397
10/03/2011,3961.37,3980.85,3940.25,3963.99,3633077551
11/03/2011,3926.72,3951.46,3915.21,3928.68,3968967688
14/03/2011,3914.03,3939.5,3871.22,3878.04,5298491896
15/03/2011,3793.95,3820.79,3713.07,3780.85,7711643065
16/03/2011,3800.83,3800.83,3693.94,3696.56,6073470363
17/03/2011,3728.64,3796.62,3708.13,3786.21,5453452485
18/03/2011,3807.51,3861.84,3801.47,3810.22,9873098951
21/03/2011,3870.72,3904.45,3855.25,3904.45,3938399695
22/03/2011,3904.12,3926.66,3876.71,3892.71,3699057163
23/03/2011,3875.26,3918,3875.26,3913.73,3056226922
24/03/2011,3900.24,3973.02,3885.83,3968.84,3358741528
25/03/2011,3986.56,3986.56,3960.19,3972.38,2649455839
28/03/2011,3966.77,3991.32,3959.85,3976.95,2452308344
29/03/2011,3984.05,3990.73,3949.2,3987.8,2746050919
30/03/2011,4024.02,4031.18,4011.71,4024.44,3216024090
31/03/2011,4025.87,4037.4,3989.18,3989.18,3540297153
01/04/2011,4014.58,4055.88,4002.23,4054.76,4032489286
04/04/2011,4051.44,4059.65,4039.6,4042.92,2821209628
05/04/2011,4039.74,4045,4013.67,4041.74,3108524228
06/04/2011,4046.33,4066.75,4015.76,4048.16,3614064604
07/04/2011,4048.7,4070.89,4025.02,4028.3,3404873671
08/04/2011,4051.92,4068.65,4047.55,4061.91,2909312397
11/04/2011,4056.94,4057.53,4026.08,4038.7,2786390915
12/04/2011,4008.34,4018.81,3966.07,3976.6,3717163009
13/04/2011,3998.29,4029.34,3984.01,4006.23,2820690314
14/04/2011,3986.26,3994.86,3949.01,3970.39,3291587340
15/04/2011,3970.65,3977.66,3950.5,3974.48,4192787667
18/04/2011,3970.62,3971.29,3862.4,3881.24,4475847079
19/04/2011,3899.68,3929.17,3895.38,3908.58,3282850089
20/04/2011,3947.46,4008.74,3947.46,4004.62,3800350508
21/04/2011,4021.91,4034.5,4011.38,4021.88,3158236936
26/04/2011,4014.29,4048,4009.82,4045.29,3003930490
27/04/2011,4048.14,4084.32,4036.28,4067.72,3432594620
28/04/2011,4095.42,4107.9,4080.15,4104.9,3818005774
29/04/2011,4093.61,4110.41,4084.47,4106.92,3127509597
02/05/2011,4137.75,4137.97,4108.77,4108.77,3533905713
03/05/2011,4105.35,4107.76,4070.69,4096.84,4542667740
04/05/2011,4089.64,4116.66,4032.22,4043.13,5187099962
05/05/2011,4039.1,4052.23,3981.19,4004.87,4829401877
06/05/2011,4008.43,4064.5,3991.53,4058.01,5619069916
09/05/2011,4037.91,4058.03,3993.67,4007.26,4626136310
10/05/2011,4011.33,4072.16,4006.94,4052.51,4342547176
11/05/2011,4062.43,4076.66,4047.82,4058.08,4856234529
12/05/2011,4015.8,4025.14,3986.93,4023.29,4306550775
13/05/2011,4046.22,4067.59,4011.44,4018.85,4529874654
16/05/2011,3975.38,3998.37,3955.93,3989.82,4321274917
17/05/2011,3973.12,4003.56,3941.58,3941.58,5375593801
18/05/2011,3976.79,3990.7,3956.22,3978,3834917685
19/05/2011,4001.32,4046.07,3978.18,4027.74,4155395240
20/05/2011,4023.09,4050.57,3983.13,3990.85,5687101077
23/05/2011,3934.36,3937.01,3903.9,3906.98,6273504046
24/05/2011,3915.11,3934.52,3907.16,3916.88,5128771636
25/05/2011,3889.72,3937.54,3884.55,3928.99,3434404120
26/05/2011,3937.05,3949.17,3904.06,3917.22,3487730412
27/05/2011,3958.6,3979.07,3940.86,3950.98,3450755395
30/05/2011,3947.16,3963.28,3931.53,3942.53,1622132133
31/05/2011,3967.63,4015.25,3959.91,4006.94,4763482719
01/06/2011,4014.84,4015.85,3956.07,3964.81,4020002993
02/06/2011,3930.59,3937,3889.87,3889.87,2721754367
03/06/2011,3899.16,3905.59,3845.39,3890.68,3714966939
06/06/2011,3875.63,3881.96,3851.83,3863.4,3266879978
07/06/2011,3863.83,3889.97,3855.99,3871.92,3416248887
08/06/2011,3857.65,3864.37,3826.07,3837.98,3788713990
09/06/2011,3835.25,3884.73,3823.15,3878.65,3380265791
10/06/2011,3865.74,3876.55,3798.88,3805.09,3687095027
13/06/2011,3807.46,3828.23,3796.3,3807.61,2239357887
14/06/2011,3830.79,3877.81,3829.91,3864.58,3504636822
15/06/2011,3851.23,3858.64,3800.32,3806.85,4156036112
16/06/2011,3775.38,3795.48,3743.97,3792.31,4933355464
17/06/2011,3774.55,3843.45,3742.31,3823.74,8534878269
20/06/2011,3758.98,3806.67,3755.29,3799.66,2665114583
21/06/2011,3820.05,3879.44,3820.05,3877.07,3058010174
22/06/2011,3875.11,3885.23,3853.89,3871.37,2879261003
23/06/2011,3852.48,3857.89,3774.27,3787.79,3644936054
24/06/2011,3838.5,3867.13,3775.35,3784.8,3892857978
27/06/2011,3775.75,3803.29,3769.61,3796.55,2500489277
28/06/2011,3810.51,3867.9,3806.35,3851.89,3681112557
29/06/2011,3875.8,3935.94,3868.92,3924.23,3981506078
30/06/2011,3937.26,3982.42,3926.28,3982.21,3567490512
01/07/2011,3981.96,4023.59,3967.46,4007.35,3330895668
04/07/2011,4010.37,4010.37,3996.58,4003.11,2323191661
05/07/2011,3997.48,3998.83,3973.68,3978.83,2904885346
06/07/2011,3981.38,3981.9,3941.65,3961.34,4037915518
07/07/2011,3981.79,4020.33,3960.24,3979.96,4320475775
08/07/2011,3995.43,3999.45,3912.77,3913.55,4655161141
11/07/2011,3878.6,3890.07,3789.85,3807.51,4834463402
12/07/2011,3742.2,3786.54,3717.58,3774.12,5698344961
13/07/2011,3755.51,3800.87,3748.48,3793.27,3870837464
14/07/2011,3754.57,3782.05,3743.89,3751.23,2830089603
15/07/2011,3730.5,3748.05,3706.82,3726.59,4386364314
18/07/2011,3697.54,3698.96,3645.79,3650.71,3448881686
19/07/2011,3671.13,3705.15,3664.68,3694.95,3384942850
20/07/2011,3724.57,3759.48,3709.95,3754.6,3594962089
21/07/2011,3769.86,3839.96,3712.21,3816.75,4648322697
22/07/2011,3855.43,3866.34,3817.61,3842.7,3385674971
25/07/2011,3813.5,3845.06,3808.16,3812.97,2989153291
26/07/2011,3819.23,3835.1,3767.53,3787.88,2817509091
27/07/2011,3774.54,3776.98,3711.19,3734.07,3584642591
28/07/2011,3706.98,3721.37,3669.27,3712.66,4264078343
29/07/2011,3661.32,3691.09,3630.75,3671.28,4345420953
01/08/2011,3718.38,3722.59,3585.62,3588.05,4065881018
02/08/2011,3567.51,3592.3,3522.79,3522.79,4172442044
03/08/2011,3472.94,3518.55,3441.39,3454.94,5332319794
04/08/2011,3515.11,3515.11,3315.34,3320.35,6102156406
05/08/2011,3218.39,3389.87,3218.39,3278.56,7527571537
08/08/2011,3254.36,3333.61,3125.19,3125.19,6529825129
09/08/2011,3131.84,3201.68,2979.87,3176.19,7797212680
10/08/2011,3235.8,3235.8,3001.25,3002.99,7771528199
11/08/2011,3101.87,3101.87,2891.11,3089.66,7722786009
12/08/2011,3094.84,3216.67,3017.19,3213.88,4921704942
15/08/2011,3248.14,3259.59,3201.12,3239.06,2438554295
16/08/2011,3215.5,3230.9,3162.21,3230.9,2727554328
17/08/2011,3211.49,3288.82,3182.27,3254.34,2956770324
18/08/2011,3216.77,3224.33,3048.41,3076.04,4642460285
19/08/2011,3060.83,3078.28,2947.91,3016.99,5801671585
22/08/2011,2989.6,3114.14,2989.6,3051.36,2909817590
23/08/2011,3088.75,3137.37,3051.16,3084.37,2878293658
24/08/2011,3114.98,3166.82,3075.48,3139.55,2923516009
25/08/2011,3167.66,3189.42,3096.54,3119,3157124025
26/08/2011,3113.84,3122.23,3014.31,3087.64,2900889446
29/08/2011,3141.19,3174.43,3117.94,3154.2,1713153234
30/08/2011,3186.77,3193.17,3129.04,3159.74,2391754308
31/08/2011,3179.21,3263.09,3164.51,3256.76,3918570105
01/09/2011,3273.05,3295.54,3207.32,3265.83,3364700542
02/09/2011,3226.94,3226.94,3132.66,3148.53,3373492473
05/09/2011,3072.51,3083.23,2977.18,2999.54,3972683549
06/09/2011,2998.29,3042.63,2942.78,2965.64,4080464610
07/09/2011,3038.57,3073.18,3015.97,3073.18,3167965811
08/09/2011,3070.58,3116.21,3044.38,3085.83,2808289627
09/09/2011,3064.94,3077.42,2967.17,2974.59,4046634711
12/09/2011,2880.46,2894.03,2820.76,2854.81,4770122999
13/09/2011,2910.44,2910.44,2769.97,2894.93,4570877783
14/09/2011,2851.69,2956.74,2849.73,2949.14,4138296325
15/09/2011,2969.46,3086.64,2960.69,3045.62,4226924965
16/09/2011,3084.16,3084.16,3014.45,3031.08,9729886095
19/09/2011,2960.93,2978.34,2921.98,2940,3663376121
20/09/2011,2918.07,2991.21,2909.75,2984.05,4317025620
21/09/2011,2982.86,2982.86,2929.97,2935.82,2975193078
22/09/2011,2857.86,2863.76,2771.2,2781.68,4285889272
23/09/2011,2821.43,2823.97,2693.21,2810.11,4149285778
26/09/2011,2754.82,2916.75,2753.27,2859.34,3917723211
27/09/2011,2943.32,3023.38,2910.22,3023.38,4151621788
28/09/2011,2990.47,3055.67,2969.49,2995.62,3156513798
29/09/2011,2978.26,3060.43,2974.98,3027.65,3260220196
30/09/2011,3009.26,3021.97,2948.24,2981.96,3702497179
03/10/2011,2913.07,2946.38,2888.83,2926.83,2616501975
04/10/2011,2884.54,2884.62,2808.22,2850.55,3511148399
05/10/2011,2921.3,2973.9,2887.82,2973.9,3386267248
06/10/2011,2999.78,3075.37,2995.38,3075.37,3944710621
07/10/2011,3073.94,3126,3052.46,3095.56,3292420003
10/10/2011,3121.41,3162.73,3094.17,3161.47,2779317410
11/10/2011,3151.87,3156.09,3115.05,3153.52,2663899356
12/10/2011,3136.55,3238.07,3121.16,3229.76,3750817024
13/10/2011,3212.54,3251.62,3168.38,3186.94,3558871113
14/10/2011,3200.52,3250.48,3180.05,3217.89,2916366445
17/10/2011,3241.97,3266.57,3149.93,3166.06,3181300026
18/10/2011,3125.24,3152.09,3088.32,3141.1,3058026389
19/10/2011,3166.24,3184.33,3137.05,3157.34,2671359068
20/10/2011,3108.36,3148.4,3082.12,3084.07,3464854266
21/10/2011,3110.2,3171.34,3092.43,3171.34,4023005760
24/10/2011,3190.71,3224.09,3156.37,3220.46,2554120529
25/10/2011,3202.06,3228.38,3150.13,3174.29,2712017628
26/10/2011,3167.66,3227.97,3146.11,3169.62,2640794218
27/10/2011,3300.72,3372.54,3243.79,3368.62,5764836743
28/10/2011,3378.58,3411.22,3333.29,3348.63,3964680296
31/10/2011,3302.78,3310.3,3242.84,3242.84,3387904783
01/11/2011,3162.57,3181.66,3057.26,3068.33,4916435344
02/11/2011,3117.88,3134.83,3049.7,3110.59,3060780673
03/11/2011,3039.57,3221.94,3029.44,3195.47,4300834711
04/11/2011,3219.71,3228.11,3113.44,3123.55,3360620869
07/11/2011,3087.98,3144.04,3053.1,3103.6,2839500206
08/11/2011,3104.93,3193.62,3102.67,3143.3,2901989775
09/11/2011,3170.16,3183.41,3046.36,3075.16,3686461226
10/11/2011,3011.39,3122.29,3008.73,3064.84,3175578703
11/11/2011,3070.33,3154.98,3057.04,3149.38,2574908837
14/11/2011,3169.43,3174.32,3090.23,3108.95,2607960149
15/11/2011,3082.04,3097.98,3030.16,3049.13,3020620054
16/11/2011,3038.6,3102.24,3027.44,3064.9,2548788669
17/11/2011,3052.94,3064.15,3000.67,3010.29,2775083651
18/11/2011,2989.97,3026.39,2979.6,2997.01,3010858317
21/11/2011,2981.79,2981.79,2894.94,2894.94,2678628847
22/11/2011,2925.32,2941.76,2870.68,2870.68,2673622768
23/11/2011,2840.29,2881.56,2822.43,2822.43,2766126407
24/11/2011,2849.5,2876.31,2807.06,2822.25,2634445062
25/11/2011,2822.85,2871.49,2793.22,2856.97,2278132614
28/11/2011,2897.48,3012.93,2890.76,3012.93,3166730432
29/11/2011,2995.96,3047.87,2972.1,3026.76,2637443498
30/11/2011,2992.14,3166.55,2986.28,3154.62,5019743286
01/12/2011,3151.35,3168.92,3119.74,3129.95,2738605525
02/12/2011,3167.31,3201.06,3151.41,3164.95,2988728796
05/12/2011,3206.67,3215.78,3183.57,3201.28,2587746423
06/12/2011,3172.93,3207.9,3167.64,3179.63,2546243572
07/12/2011,3225.36,3244.89,3131.99,3175.98,2931182539
08/12/2011,3202.33,3215.59,3091.23,3095.49,3324436365
09/12/2011,3066.46,3175.9,3064.63,3172.35,2928631942
12/12/2011,3150.84,3163.7,3089.59,3089.59,2374061233
13/12/2011,3096.67,3111.1,3059.46,3078.72,2685224578
14/12/2011,3057.43,3072.95,2976.17,2976.17,2916278736
15/12/2011,2989.95,3021.64,2975.12,2998.73,2578639194
16/12/2011,3010.41,3017.09,2969.4,2972.3,9856891837
19/12/2011,2942.34,3009.99,2941.4,2974.2,2008176940
20/12/2011,2967.05,3055.39,2957.2,3055.39,2564759284
21/12/2011,3080,3121.39,3019.72,3030.47,2450426746
22/12/2011,3046.83,3080.19,3046.83,3071.8,1682460135
23/12/2011,3101.75,3113.94,3086.1,3102.09,1055238502
27/12/2011,3111.14,3131.5,3098.14,3103.11,726251971.5
28/12/2011,3102.24,3130.82,3071.08,3071.08,1191804994
29/12/2011,3081.17,3127.56,3064.69,3127.56,1291522027
30/12/2011,3139.91,3159.81,3120.05,3159.81,1247801579
02/01/2012,3158.24,3222.3,3157,3222.3,1443523564
03/01/2012,3231.43,3246.74,3193.63,3245.4,2289167717
04/01/2012,3227.46,3242.84,3186.48,3193.65,2036526646
05/01/2012,3197.16,3200.15,3136.75,3144.91,2406792844
06/01/2012,3156.42,3184.38,3122.63,3137.36,2030626250
09/01/2012,3143.95,3157.31,3114.45,3127.69,1824408947
10/01/2012,3154.25,3219.43,3154.25,3210.79,3109452197
11/01/2012,3204,3236.34,3181.17,3204.83,2779722016
12/01/2012,3210.88,3253.29,3190.12,3199.98,2878812450
13/01/2012,3224.16,3243.85,3151.69,3196.49,2874104591
16/01/2012,3174.33,3231.02,3163.68,3225,1911961057
17/01/2012,3260.27,3292.59,3243.37,3269.99,2778293651
18/01/2012,3276.35,3301.89,3236.49,3264.93,3060827518
19/01/2012,3286.11,3328.94,3272.31,3328.94,4138285150
20/01/2012,3336.22,3336.62,3304.95,3321.5,4312564891
23/01/2012,3325.42,3352.32,3313.71,3338.42,2891266993
24/01/2012,3320.06,3323.97,3292.51,3322.65,2865336784
25/01/2012,3336.53,3339.56,3285.63,3312.48,2505750961
26/01/2012,3331.82,3368.66,3323.07,3363.23,3214175625
27/01/2012,3345.07,3368.22,3318.76,3318.76,2884943305
30/01/2012,3295.98,3300.68,3264.02,3265.64,3049744428
31/01/2012,3292.01,3325.1,3289.48,3298.55,2708073492
01/02/2012,3320.32,3370.28,3320.32,3367.46,3336336934
02/02/2012,3386.63,3399.53,3355.84,3376.66,2895438179
03/02/2012,3370.63,3427.92,3361.18,3427.92,3524794025
06/02/2012,3412.32,3412.32,3380.94,3405.27,2459701141
07/02/2012,3416.04,3421.64,3379.43,3411.54,2381885940
08/02/2012,3425.41,3439.09,3410,3410,2939794348
09/02/2012,3419.44,3449.24,3412.58,3424.71,3173349974
10/02/2012,3394.92,3409.76,3365.48,3373.14,3145704711
13/02/2012,3406.86,3413.43,3366.32,3384.55,2283929032
14/02/2012,3369.75,3399.97,3362.51,3375.64,2723990918
15/02/2012,3399.37,3419.07,3377.55,3390.35,3120629615
16/02/2012,3366,3393.25,3352.63,3393.25,3477815374
17/02/2012,3425.83,3450.76,3422.21,3439.62,4287635293
20/02/2012,3463.56,3472.93,3452.7,3472.54,2635958218
21/02/2012,3476.12,3478.01,3440.34,3465.24,2746949003
22/02/2012,3472.76,3478.03,3443.59,3447.37,3134711656
23/02/2012,3437.77,3468.54,3425.02,3447.31,3012503544
24/02/2012,3464.96,3474.55,3451.1,3467.03,2546451584
27/02/2012,3452.01,3452.06,3412.17,3441.45,2311244551
28/02/2012,3455.34,3462.54,3425.73,3453.99,2714535010
29/02/2012,3464.88,3489.48,3447.61,3452.45,3302354527
01/03/2012,3444.53,3500.01,3431.93,3499.73,3511414248
02/03/2012,3504.72,3514.15,3493.79,3501.17,2500925353
05/03/2012,3485.51,3499.25,3462.66,3487.54,2408417825
06/03/2012,3475.43,3475.43,3362.56,3362.56,3893013782
07/03/2012,3364.13,3396.45,3363.28,3392.33,2797848161
08/03/2012,3415.6,3478.36,3410.94,3478.36,3498805522
09/03/2012,3484.59,3507.52,3464.74,3487.48,2859379306
12/03/2012,3473.37,3493.87,3467.61,3490.06,2749066321
13/03/2012,3508.59,3550.58,3508.59,3550.16,2994534668
14/03/2012,3565.65,3585.98,3561.92,3564.51,3566475605
15/03/2012,3559.1,3581.38,3554.45,3580.21,3388991196
16/03/2012,3581.45,3600.48,3574.92,3594.83,7842572739
19/03/2012,3581.48,3581.48,3563.28,3577.88,2480178302
20/03/2012,3563.98,3566.37,3524.02,3530.83,2649715981
21/03/2012,3546.76,3565.3,3504,3527.37,2596524466
22/03/2012,3514.61,3518.59,3457.19,3472.46,2917504756
23/03/2012,3473.34,3490.9,3432.56,3476.18,2485422552
26/03/2012,3495.76,3509.55,3457.8,3501.98,2211790421
27/03/2012,3515.73,3535.6,3465.15,3469.59,3462114178
28/03/2012,3456.07,3484.65,3430.15,3430.15,3243573543
29/03/2012,3426.08,3435.41,3374.69,3381.12,3518829320
30/03/2012,3407.31,3430.32,3396.29,3423.81,3190847482
02/04/2012,3439.17,3462.91,3397.98,3462.91,3114736056
03/04/2012,3464.32,3473.2,3406.78,3406.78,2796456223
